Manufacturer,Model,Description,Transmission,Engine Capacity,Fuel Type,Electric energy consumption Miles/kWh,wh/km,Maximum range (Km),Maximum range (Miles),Metric Urban (Cold),Metric Extra-Urban,Metric Combined,Imperial Urban (Cold),Imperial Extra-Urban,Imperial Combined,CO2 g/km,Fuel Cost 12000 Miles,Electricity cost,Total cost / 12000 miles,Euro Standard,Noise Level dB(A),Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km],Particulates [No.] [mg/km],,,,,,,
BMW,"2 Series Convertible F23, From July 2016",218d - 18'' tyres,A8,1995,Diesel,,,,,5.4,3.9,4.5,52.3,72.4,62.8,118,"£1,068",,"£1,068",6,73.0,169,,30,36,0.10,,,,,,,
BMW,"2 Series Convertible F23, From July 2016",218d - 18'' tyres,M6,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,116",,"£1,116",6,75.0,249,,28,46,0.10,,,,,,,
BMW,"2 Series Coupé F22, From July 2016",220d - 18'' tyres,A8,1995,Diesel,,,,,5.0,3.9,4.3,56.5,72.4,65.7,113,"£1,021",,"£1,021",6,69.0,102,,20,26,0.10,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",218d Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,113,"£1,021",,"£1,021",6,75.0,249,,29,46,0.10,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",218d Coupé - 18'' tyres,M6,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,75.0,249,,29,46,0.10,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",218d Coupé – 18'' tyres,A8,1995,Diesel,,,,,5.0,3.8,4.2,56.5,74.3,67.3,111,£997,,£997,6,73.0,169,,30,36,0.10,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",220d Coupé – 17'' tyres,M6,1995,Diesel,,,,,5.3,3.7,4.3,53.3,76.3,65.7,112,"£1,021",,"£1,021",6,71.0,181,,24,41,0.02,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",220d Coupé – 18'' tyres,M6,1995,Diesel,,,,,5.4,3.8,4.4,52.3,74.3,64.2,115,"£1,045",,"£1,045",6,71.0,181,,24,41,0.02,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",220d xDrive Coupé - 17'' tyres,A8,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,69.0,102,,20,26,0.07,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",220d xDrive Coupé – 18'' tyres,A8,1995,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,116",,"£1,116",6,69.0,102,,20,26,0.07,,,,,,,
BMW,"2 Series Coupé F22, From March 2014",225d Coupé – 18'' tyres,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,121,"£1,093",,"£1,093",6,68.0,105,,37,45,0.08,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",216d Gran Tourer - 18'' tyres,A6,1496,Diesel,,,,,4.9,4.0,4.3,57.6,70.6,65.7,114,"£1,021",,"£1,021",6,67.0,95,,61,87,0.20,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",216d Gran Tourer – 18'' tyres,M6,1496,Diesel,,,,,4.8,3.9,4.2,58.9,72.4,67.3,111,£997,,£997,6,69.0,99,,53,79,0.04,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",218d Gran Tourer - 16'' & 17'' tyres,A8,1995,Diesel,,,,,4.9,4.1,4.4,57.6,68.9,64.2,115,"£1,045",,"£1,045",6,71.0,143,,32,39,0.03,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",218d Gran Tourer - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.1,3.9,4.4,55.4,72.4,64.2,115,"£1,045",,"£1,045",6,70.0,269,,44,88,0.09,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",218d Gran Tourer - 18'' tyres,A8,1995,Diesel,,,,,5.1,4.2,4.5,55.4,67.3,62.8,119,"£1,068",,"£1,068",6,71.0,143,,32,39,0.03,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",218d Gran Tourer – 18'' tyres,M6,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,70.0,269,,44,88,0.09,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",220d Gran Tourer - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.1,4.2,4.5,55.4,67.3,62.8,119,"£1,068",,"£1,068",6,69.0,149,,24,64,0.10,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",220d Gran Tourer - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,71.0,205,,34,74,0.20,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",220d Gran Tourer - 18'' tyres,A8,1995,Diesel,,,,,5.3,4.4,4.7,53.3,64.2,60.1,124,"£1,116",,"£1,116",6,69.0,149,,24,64,0.10,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",220d Gran Tourer - 18'' tyres,M6,1995,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,116",,"£1,116",6,71.0,205,,34,74,0.20,,,,,,,
BMW,"2 Series Gran Tourer F46, From June 2015",220d xDrive Gran Tourer - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.5,4.5,4.9,51.4,62.8,57.6,129,"£1,165",,"£1,165",6,69.0,149,,24,64,0.10,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",318d Gran Turismo - 18'' tyres,A8,1995,Diesel,,,,,5.1,4.0,4.4,55.4,70.6,64.2,117,"£1,045",,"£1,045",6,71.0,110,,26,29,0.10,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",318d Gran Turismo - 18'' tyres,M6,1995,Diesel,,,,,5.5,4.1,4.6,51.4,68.9,61.4,121,"£1,093",,"£1,093",6,72.0,200,,32,47,0.10,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",318d Gran Turismo - 19'' tyres,A8,1995,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,119,"£1,068",,"£1,068",6,71.0,110,,26,29,0.10,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",318d Gran Turismo - 19'' tyres,M6,1995,Diesel,,,,,5.6,4.1,4.7,50.4,68.9,60.1,123,"£1,116",,"£1,116",6,72.0,200,,32,47,0.10,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d Gran Turismo - 18'' tyres,A8,1995,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,118,"£1,068",,"£1,068",6,71.0,124,,31,35,0.08,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d Gran Turismo - 18'' tyres,M6,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,125,"£1,116",,"£1,116",6,73.0,247,,27,62,0.13,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d Gran Turismo - 19'' tyres,A8,1995,Diesel,,,,,5.4,4.1,4.6,52.3,68.9,61.4,120,"£1,093",,"£1,093",6,71.0,124,,31,35,0.08,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d Gran Turismo - 19'' tyres,M6,1995,Diesel,,,,,5.7,4.3,4.8,49.6,65.7,58.9,127,"£1,139",,"£1,139",6,72.0,247,,27,62,0.13,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d xDrive Gran Turismo - 18'' tyres,A8,1995,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,116",,"£1,116",6,71.0,124,,31,35,0.00,,,,,,,
BMW,"3 Series Gran Turismo F34, From June 2013",320d xDrive Gran Turismo - 19'' tyres,A8,1995,Diesel,,,,,5.6,4.3,4.8,50.4,65.7,58.9,126,"£1,139",,"£1,139",6,71.0,124,,31,35,0.00,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",316d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,113,"£1,021",,"£1,021",6,68.0,232,,28,41,0.10,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",316d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,113,"£1,021",,"£1,021",6,69.0,313,,42,68,0.06,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",318d - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.0,3.8,4.2,56.5,74.3,67.3,111,£997,,£997,6,68.0,175,,24,31,0.12,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",318d - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,111,£997,,£997,6,69.0,274,,32,50,0.15,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",318d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,68.0,175,,24,31,0.12,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",318d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,69.0,274,,32,50,0.15,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.0,3.8,4.2,56.5,74.3,67.3,111,£997,,£997,6,73.0,128,,23,29,0.13,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,111,£997,,£997,6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.2,3.9,4.4,54.3,72.4,64.2,116,"£1,045",,"£1,045",6,73.0,128,,23,29,0.13,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d EfficientDynamics - 18'' & 19'' wheels,M6,1995,Diesel,,,,,5.2,3.8,4.3,54.3,74.3,65.7,113,"£1,021",,"£1,021",6,75.0,157,,34,46,0.10,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d xDrive - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.3,4.0,4.5,53.3,70.6,62.8,118,"£1,068",,"£1,068",6,73.0,128,,23,29,0.07,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d xDrive - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.5,3.9,4.5,51.4,72.4,62.8,119,"£1,068",,"£1,068",6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d xDrive - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.5,4.2,4.7,51.4,67.3,60.1,123,"£1,116",,"£1,116",6,73.0,128,,23,29,0.00,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",320d xDrive - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.8,4.2,4.8,48.7,67.3,58.9,126,"£1,139",,"£1,139",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",325d - 17'' tyres,A8,1995,Diesel,,,,,5.7,4.0,4.6,49.6,70.6,61.4,122,"£1,093",,"£1,093",6,68.0,143,,24,36,0.13,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",325d - 17'' tyres,M6,1995,Diesel,,,,,6.1,4.3,4.9,46.3,65.7,57.6,129,"£1,165",,"£1,165",6,74.0,166,,32,55,0.17,,,,,,,
BMW,"3 Series Saloon F30, From February 2012",325d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.8,4.2,4.8,48.7,67.3,58.9,125,"£1,139",,"£1,139",6,68.0,143,,24,36,0.13,,,,,,,
BMW,"3 Series Touring F31, from September 2012",316d - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,68.0,232,,28,41,0.10,,,,,,,
BMW,"3 Series Touring F31, from September 2012",316d - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,69.0,313,,42,68,0.06,,,,,,,
BMW,"3 Series Touring F31, from September 2012",316d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.5,4.0,4.6,51.4,70.6,61.4,120,"£1,093",,"£1,093",6,68.0,232,,28,41,0.10,,,,,,,
BMW,"3 Series Touring F31, from September 2012",316d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.5,4.0,4.6,51.4,70.6,61.4,120,"£1,093",,"£1,093",6,69.0,313,,42,68,0.06,,,,,,,
BMW,"3 Series Touring F31, from September 2012",318d - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.2,3.8,4.3,54.3,74.3,65.7,114,"£1,021",,"£1,021",6,68.0,175,,24,31,0.12,,,,,,,
BMW,"3 Series Touring F31, from September 2012",318d - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.4,3.9,4.5,52.3,72.4,62.8,117,"£1,068",,"£1,068",6,69.0,274,,32,50,0.15,,,,,,,
BMW,"3 Series Touring F31, from September 2012",318d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.4,4.0,4.5,52.3,70.6,62.8,119,"£1,068",,"£1,068",6,68.0,175,,24,31,0.12,,,,,,,
BMW,"3 Series Touring F31, from September 2012",318d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.6,4.0,4.6,50.4,70.6,61.4,122,"£1,093",,"£1,093",6,69.0,274,,32,50,0.15,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,73.0,128,,23,29,0.13,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.4,3.9,4.5,52.3,72.4,62.8,118,"£1,068",,"£1,068",6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.4,4.0,4.5,52.3,70.6,62.8,119,"£1,068",,"£1,068",6,73.0,128,,23,29,0.13,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.7,4.1,4.7,49.6,68.9,60.1,123,"£1,116",,"£1,116",6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d EfficientDynamics - 18'' & 19'' wheels,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,73.0,148,,30,38,0.13,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d EfficientDynamics - 18'' & 19'' wheels,M6,1995,Diesel,,,,,5.5,3.9,4.5,51.4,72.4,62.8,118,"£1,068",,"£1,068",6,75.0,157,,34,46,0.17,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d EfficientDynamics - 7.5Jx16'' & 17'' wheels,A8,1995,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,111,£997,,£997,6,73.0,148,,30,38,0.13,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d EfficientDynamics - 7.5Jx16'' & 17'' wheels,M6,1995,Diesel,,,,,5.2,3.8,4.3,54.3,74.3,65.7,114,"£1,021",,"£1,021",6,75.0,157,,34,46,0.17,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d xDrive - 16'' & 17'' tyres,A8,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,116",,"£1,116",6,73.0,128,,23,29,0.07,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d xDrive - 16'' & 17'' tyres,M6,1995,Diesel,,,,,5.9,4.3,4.9,47.9,65.7,57.6,128,"£1,165",,"£1,165",6,75.0,147,,38,48,0.16,,,,,,,
BMW,"3 Series Touring F31, from September 2012",320d xDrive - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.8,4.4,4.9,48.7,64.2,57.6,129,"£1,165",,"£1,165",6,73.0,128,,23,29,0.00,,,,,,,
BMW,"4 Series Convertible F33, From March 2014",420d Convertible - 17'' tyres,A8,1995,Diesel,,,,,5.2,3.9,4.4,54.3,72.4,64.2,116,"£1,045",,"£1,045",6,73.0,128,,23,29,0.08,,,,,,,
BMW,"4 Series Convertible F33, From March 2014",420d Convertible - 17'' tyres,M6,1995,Diesel,,,,,5.7,4.3,4.8,49.6,65.7,58.9,127,"£1,139",,"£1,139",6,75.0,147,,38,48,0.13,,,,,,,
BMW,"4 Series Convertible F33, From March 2014",420d Convertible - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,116",,"£1,116",6,73.0,128,,23,29,0.08,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",418d Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,117,"£1,045",,"£1,045",6,68.0,175,,24,31,0.07,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",418d Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.4,3.9,4.5,52.3,72.4,62.8,118,"£1,068",,"£1,068",6,69.0,274,,32,50,0.04,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,111,£997,,£997,6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.5,3.9,4.5,51.4,72.4,62.8,119,"£1,068",,"£1,068",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d xDrive Coupé - 17'' tyres,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,117,"£1,045",,"£1,045",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d xDrive Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.2,4.0,4.4,54.3,70.6,64.2,117,"£1,045",,"£1,045",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d xDrive Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.8,4.1,4.7,48.7,68.9,60.1,125,"£1,116",,"£1,116",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",420d xDrive Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,125,"£1,116",,"£1,116",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",425d Coupé - 17'' tyres,A8,1995,Diesel,,,,,5.7,4.1,4.7,49.6,68.9,60.1,124,"£1,116",,"£1,116",6,68.0,143,,24,36,0.13,,,,,,,
BMW,"4 Series Coupé F32, From October 2013",425d Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.9,4.3,4.9,47.9,65.7,57.6,129,"£1,165",,"£1,165",6,68.0,143,,24,36,0.13,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",418d Gran Coupé - 17'' tyres,A8,1995,Diesel,,,,,5.1,3.8,4.3,55.4,74.3,65.7,112,"£1,021",,"£1,021",6,68.0,175,,24,31,0.12,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",418d Gran Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.2,3.8,4.3,54.3,74.3,65.7,114,"£1,021",,"£1,021",6,69.0,274,,32,50,0.15,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",418d Gran Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.3,3.9,4.4,53.3,72.4,64.2,116,"£1,045",,"£1,045",6,68.0,175,,24,31,0.12,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",418d Gran Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.4,3.9,4.5,52.3,72.4,62.8,118,"£1,068",,"£1,068",6,69.0,274,,32,50,0.15,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d Gran Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.1,3.7,4.2,55.4,76.3,67.3,111,£997,,£997,6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d Gran Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d Gran Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.5,3.9,4.5,51.4,72.4,62.8,119,"£1,068",,"£1,068",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d xDrive Gran Coupé - 17'' tyres,A8,1995,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,118,"£1,068",,"£1,068",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d xDrive Gran Coupé - 17'' tyres,M6,1995,Diesel,,,,,5.6,4.0,4.6,50.4,70.6,61.4,121,"£1,093",,"£1,093",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d xDrive Gran Coupé - 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.6,4.3,4.8,50.4,65.7,58.9,126,"£1,139",,"£1,139",6,73.0,128,,23,29,0.02,,,,,,,
BMW,"4 Series Gran Coupé F36, From June 2014",420d xDrive Gran Coupé - 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.9,4.3,4.9,47.9,65.7,57.6,129,"£1,165",,"£1,165",6,75.0,147,,38,48,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",518d - 17'' tyres,M6,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,71.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",518d - 18'' tyres all-round,A8,1995,Diesel,,,,,5.1,4.0,4.4,55.4,70.6,64.2,115,"£1,045",,"£1,045",6,69.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",518d - 18'' tyres all-round,M6,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,71.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",518d - mixed 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.2,4.2,4.6,54.3,67.3,61.4,120,"£1,093",,"£1,093",6,69.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",518d - mixed 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,116",,"£1,116",6,71.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",520d - 17'' tyres,M6,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,71.0,314,,49,61,0.20,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",520d - 18'' tyres all-round,A8,1995,Diesel,,,,,5.1,3.9,4.3,55.4,72.4,65.7,114,"£1,021",,"£1,021",6,69.0,145,,31,37,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",520d - 18'' tyres all-round,M6,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,71.0,314,,49,61,0.20,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",520d - mixed 18'' & 19'' tyres,A8,1995,Diesel,,,,,5.3,4.1,4.5,53.3,68.9,62.8,119,"£1,068",,"£1,068",6,69.0,145,,31,37,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",520d - mixed 18'' & 19'' tyres,M6,1995,Diesel,,,,,5.6,4.2,4.7,50.4,67.3,60.1,124,"£1,116",,"£1,116",6,71.0,314,,49,61,0.20,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",525d - 17'' tyres,A8,1995,Diesel,,,,,5.6,4.1,4.7,50.4,68.9,60.1,123,"£1,116",,"£1,116",6,72.0,65,,27,41,0.30,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",525d - 17'' tyres,M6,1995,Diesel,,,,,5.9,4.3,4.9,47.9,65.7,57.6,129,"£1,165",,"£1,165",6,72.0,178,,42,64,0.10,,,,,,,
BMW,"5 Series Saloon F10, From March 2010",525d - 18'' tyres all-around,A8,1995,Diesel,,,,,5.8,4.3,4.9,48.7,65.7,57.6,128,"£1,165",,"£1,165",6,72.0,65,,27,41,0.30,,,,,,,
BMW,"5 Series Saloon G30, From February 2017","520d - 18'', 19'', 20'' run-flat tyres",A8,1995,Diesel,,,,,4.9,4.0,4.3,57.6,70.6,65.7,114,"£1,021",,"£1,021",6,67.0,72,,13,36,0.30,,,,,,,
BMW,"5 Series Saloon G30, From February 2017",520d xDrive - 17'' standard tyres,A8,1995,Diesel,,,,,5.1,4.2,4.5,55.4,67.3,62.8,119,"£1,068",,"£1,068",6,67.0,72,,13,36,0.30,,,,,,,
BMW,"5 Series Saloon G30, From February 2017","520d xDrive - 18'', 19'', 20'' run-flat tyres",A8,1995,Diesel,,,,,5.2,4.4,4.7,54.3,64.2,60.1,124,"£1,116",,"£1,116",6,67.0,72,,13,36,0.30,,,,,,,
BMW,"5 Series Saloon G30, From February 2017","530d - 18'', 19'', 20'' run-flat tyres",A8,2993,Diesel,,,,,5.5,4.3,4.7,51.4,65.7,60.1,124,"£1,116",,"£1,116",6,67.0,231,,44,98,0.00,,,,,,,
BMW,"5 Series Touring F11, From March 2010",518d - 17'' tyres,A8,1995,Diesel,,,,,5.2,4.1,4.5,54.3,68.9,62.8,118,"£1,068",,"£1,068",6,69.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Touring F11, From March 2010",518d - 17'' tyres,M6,1995,Diesel,,,,,5.6,4.1,4.7,50.4,68.9,60.1,122,"£1,116",,"£1,116",6,71.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Touring F11, From March 2010",518d - 18'' tyres,A8,1995,Diesel,,,,,5.5,4.2,4.7,51.4,67.3,60.1,123,"£1,116",,"£1,116",6,69.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Touring F11, From March 2010",518d - 18'' tyres,M6,1995,Diesel,,,,,5.7,4.3,4.8,49.6,65.7,58.9,127,"£1,139",,"£1,139",6,71.0,333,,55,72,0.10,,,,,,,
BMW,"5 Series Touring F11, From March 2010",518d - 19'' tyres,A8,1995,Diesel,,,,,5.7,4.4,4.9,49.6,64.2,57.6,128,"£1,165",,"£1,165",6,69.0,333,,55,72,0.10,,,,,,,
